index,date,iso_code,total_vacc
357,2022-01-22,AND,7001536.252398133
358,2022-01-23,AND,7006069.377413511
359,2022-01-24,AND,7010503.186222792
360,2021-10-27,AGO,5515924.159492612
361,2021-10-28,AGO,5610670.778331339
362,2021-10-29,AGO,5674233.844752729
363,2021-10-30,AGO,5721005.874413848
364,2021-10-31,AGO,5757923.027806282
365,2021-11-01,AGO,5789058.311158419
366,2021-11-02,AGO,5816779.686740816
367,2021-11-03,AGO,5842454.3150548935
368,2021-11-04,AGO,5866864.571668267
369,2021-11-05,AGO,5890473.353443623
370,2021-11-06,AGO,5913554.9953558445
371,2021-11-07,AGO,5936270.625795245
372,2021-11-08,AGO,5958723.033562541
373,2021-11-09,AGO,5980983.0595879555
374,2021-11-10,AGO,6003101.403752923
375,2021-11-11,AGO,6025100.290663004
376,2021-11-12,AGO,6046971.386091113
377,2021-11-13,AGO,6068699.410620928
378,2021-11-14,AGO,6090264.917722583
379,2021-11-15,AGO,6111526.920054555
380,2021-11-16,AGO,6132466.665605903
381,2021-11-17,AGO,6152763.286633849
382,2021-11-18,AGO,6172795.990470767
383,2021-11-19,AGO,6192556.442889571
384,2021-11-20,AGO,6212036.309663177
385,2021-11-21,AGO,6231232.812715888
386,2021-11-22,AGO,6250142.479453087
387,2021-11-23,AGO,6268762.531799078
388,2021-11-24,AGO,6287093.664272785
389,2021-11-25,AGO,6305135.182355285
390,2021-11-26,AGO,6322889.169603348
391,2021-11-27,AGO,6340356.320535898
392,2021-11-28,AGO,6357538.718709707
393,2021-11-29,AGO,6374438.447681546
394,2021-11-30,AGO,6391058.28552711
395,2021-12-01,AGO,6407400.31580317
396,2021-12-02,AGO,6423466.622066498
397,2021-12-03,AGO,6439260.676911712
398,2021-12-04,AGO,6454784.563895583
399,2021-12-05,AGO,6470041.061093807
400,2021-12-06,AGO,6485034.335619926
401,2021-12-07,AGO,6499765.081992865
402,2021-12-08,AGO,6514236.7728072405
403,2021-12-09,AGO,6528452.186138749
404,2021-12-10,AGO,6542413.405544162
405,2021-12-11,AGO,6556123.209099174
406,2021-12-12,AGO,6569585.763917327
407,2021-12-13,AGO,6582803.848074317
408,2021-12-14,AGO,6595779.545126915
409,2021-12-15,AGO,6608516.32766974
410,2021-12-16,AGO,6621016.973778486
